Trendy genes	Module genes	Trendy genes:Module genes	Module genes:Hub genes	Trendy genes:Module genes:Hub genes
Alg2	NA	NA	NA	NA
Rtn3	NA	NA	NA	NA
4930556M19Rik	NA	NA	NA	NA
Prelp	NA	NA	NA	NA
Fam241b	NA	NA	NA	NA
Psmg4	NA	NA	NA	NA
Olfr1065	NA	NA	NA	NA
Tdrkh	NA	NA	NA	NA
Usp35	NA	NA	NA	NA
A230085B16Rik	NA	NA	NA	NA
Tulp4	NA	NA	NA	NA
Mbtps1	NA	NA	NA	NA
Olfr912	NA	NA	NA	NA
Pcmtd2	NA	NA	NA	NA
mt-Nd2	NA	NA	NA	NA
Olfr250	NA	NA	NA	NA
Gm19144	NA	NA	NA	NA
Gm36723	NA	NA	NA	NA
Dexi	NA	NA	NA	NA
Hr	NA	NA	NA	NA
Nos1ap	NA	NA	NA	NA
Naa50	NA	NA	NA	NA
Aatf	NA	NA	NA	NA
Gm20756	NA	NA	NA	NA
Ndn	NA	NA	NA	NA
Anapc5	NA	NA	NA	NA
Actn1	NA	NA	NA	NA
Col2a1	NA	NA	NA	NA
Gm4876	NA	NA	NA	NA
Gm11451	NA	NA	NA	NA
Slain1	NA	NA	NA	NA
Pacsin3	NA	NA	NA	NA
Ggcx	NA	NA	NA	NA
Stum	NA	NA	NA	NA
Zswim7	NA	NA	NA	NA
Mat2b	NA	NA	NA	NA
Col6a3	NA	NA	NA	NA
Gm37465	NA	NA	NA	NA
Cdkn2c	NA	NA	NA	NA
Serpine2	NA	NA	NA	NA
Cdk18	NA	NA	NA	NA
Jchain	NA	NA	NA	NA
Eif5b	NA	NA	NA	NA
Fndc3b	NA	NA	NA	NA
Kyat3	NA	NA	NA	NA
Kif7	NA	NA	NA	NA
Atp6v1c1	NA	NA	NA	NA
Cnksr1	NA	NA	NA	NA
Efcab11	NA	NA	NA	NA
Trap1	NA	NA	NA	NA
Gm48832	NA	NA	NA	NA
Hhat	NA	NA	NA	NA
Atpaf2	NA	NA	NA	NA
Fez1	NA	NA	NA	NA
Aspm	NA	NA	NA	NA
Gm26569	NA	NA	NA	NA
Fbln2	NA	NA	NA	NA
Ddah1	NA	NA	NA	NA
Idh2	NA	NA	NA	NA
Wnt5b	NA	NA	NA	NA
Echs1	NA	NA	NA	NA
mt-Nd5	NA	NA	NA	NA
Gm48584	NA	NA	NA	NA
Slc39a12	NA	NA	NA	NA
Fanci	NA	NA	NA	NA
Jph1	NA	NA	NA	NA
Gclm	NA	NA	NA	NA
Clec2g	NA	NA	NA	NA
Pabpc1	NA	NA	NA	NA
Rslcan18	NA	NA	NA	NA
Copg2	NA	NA	NA	NA
4933406C10Rik	NA	NA	NA	NA
Nup35	NA	NA	NA	NA
Nphp1	NA	NA	NA	NA
4933402J10Rik	NA	NA	NA	NA
Numb	NA	NA	NA	NA
Gm43000	NA	NA	NA	NA
Itga11	NA	NA	NA	NA
Neurl2	NA	NA	NA	NA
Nemf	NA	NA	NA	NA
Dcdc2c	NA	NA	NA	NA
Crim1	NA	NA	NA	NA
Frs2	NA	NA	NA	NA
Mlf1	NA	NA	NA	NA
Wfdc1	NA	NA	NA	NA
Rbbp7	NA	NA	NA	NA
Gm6614	NA	NA	NA	NA
A830052D11Rik	NA	NA	NA	NA
Gm36989	NA	NA	NA	NA
Mcm3ap	NA	NA	NA	NA
Calcr	NA	NA	NA	NA
Asic2	NA	NA	NA	NA
Garem1	NA	NA	NA	NA
Smyd2	NA	NA	NA	NA
4930467E23Rik	NA	NA	NA	NA
S100a6	NA	NA	NA	NA
Cald1	NA	NA	NA	NA
Sms	NA	NA	NA	NA
Stom	NA	NA	NA	NA
Grpel1	NA	NA	NA	NA
2810013P06Rik	NA	NA	NA	NA
Gm44129	NA	NA	NA	NA
Hpcal1	NA	NA	NA	NA
Col6a6	NA	NA	NA	NA
Prg4	NA	NA	NA	NA
Il6st	NA	NA	NA	NA
Cbr4	NA	NA	NA	NA
Uaca	NA	NA	NA	NA
Luzp1	NA	NA	NA	NA
Itgb3bp	NA	NA	NA	NA
Gm35507	NA	NA	NA	NA
Olfr706	NA	NA	NA	NA
Lifr	NA	NA	NA	NA
Ggnbp2	NA	NA	NA	NA
Lrrfip2	NA	NA	NA	NA
Cdc42se2	NA	NA	NA	NA
Ipo7	NA	NA	NA	NA
Olfr1505	NA	NA	NA	NA
Rmdn1	NA	NA	NA	NA
Eif2b3	NA	NA	NA	NA
4930513N10Rik	NA	NA	NA	NA
Plin4	NA	NA	NA	NA
Fam187b	NA	NA	NA	NA
Tceal8	NA	NA	NA	NA
Kctd12	NA	NA	NA	NA
Lamb1	NA	NA	NA	NA
Olfr298	NA	NA	NA	NA
Rcvrn	NA	NA	NA	NA
Guk1	NA	NA	NA	NA
Megf10	NA	NA	NA	NA
Olfr1164	NA	NA	NA	NA
Gm7607	NA	NA	NA	NA
Adgrg4	NA	NA	NA	NA
Ckmt2	NA	NA	NA	NA
Pip4p2	NA	NA	NA	NA
